title,Author,publisher,language,category_1,category_2,year,month,translate
魔奇魔奇樹,齋藤隆介,和英文化事業有限公司,中文,兒童,圖畫書,2001,9,T
零的故事,Charles Seife,商周出版,中文,中文書,科普,2001,9,T
怪才的荒誕與憂傷,Dave Eggers,遠見天下文化出版股份有限公司,中文,中文書,文學,2001,9,T
給我一件新衣服,Frederique Bertrand,格林文化事業股份有限公司,中文,兒童,圖畫書,2001,10,T
古地圖集精選,Phillip Allen,貓頭鷹出版社,中文,中文書,人文,2001,10,T
忠孝公園,陳映真,洪範書店有限公司,中文,中文書,文學,2001,10,F
盡得其妙: 如何讀西方正典,Harold Bloom,時報文化出版企業股份有限公司,中文,中文書,文學,2002,10,T
大城小傳,陳志勇,格林文化事業股份有限公司,中文,中文書,圖文漫畫,2019,11,F
財富背後的法律密碼: 法律如何創造財富與不平等,Katharina Pistor,大塊文化出版股份有限公司,中文,中文書,商業財經,2019,11,T
國家的決斷: 給台灣人看的二戰後國際關係史,張國城,八旗文化,中文,中文書,社會科學,2019,11,F
生命與味覺,辰巳芳子,積木文化股份有限公司,中文,中文書,生活,2019,11,T
魔法糖果,白希那백희나,維京國際股份有限公司,中文,兒童,圖畫書,2019,11,T
我們都要好好的: 無人知曉的獸醫現場,陳凌,小貓流文化,中文,中文書,科普,2019,11,F
河流,Monika Vaicenavičienė,維京國際股份有限公司 ,中文,兒童,圖畫書,2019,11,T
游牧人生: 是四海為家， 還是無家可歸? 全球金融海嘯後的新生活形態， 以車為家的銀髮打工客， 美國地下經濟最年長的新免洗勞工,Jessica Bruder,臉譜出版社,中文,中文書,社會科學,2019,11,T
HO! SANAA: 妹島和世+西澤立衛的溫柔建築風景,謝宗哲,原點出版社,中文,中文書,藝術,2019,12,F
為何我們總是選錯人? 人類政治行為的迷思,Rick Shenkman,左岸文化,中文,中文書,社會科學,2019,12,T
2069,高翊峰,新經典圖文傳播有限公司,中文,中文書,文學,2019,12,F
建構視覺文化的13人,アイデア編集部,臉譜出版社,中文,中文書,藝術,2019,12,T
動盪: 國家如何化解危局、成功轉型? (作者燙銀簽名精裝版),Jared Diamond,時報文化出版企業股份有限公司,中文,中文書,人文,2019,12,T
如果在冬夜， 一個旅人,Italo Calvino,時報文化出版企業股份有限公司,中文,中文書,文學,2019,12,T
去投票吧! 做出選擇， 創造改變,Mark Shulman,親子天下股份有限公司,中文,兒童,圖畫書,2019,12,T
她有兩個爸爸,Mel Elliott,青林國際出版股份有限公司,中文,兒童,圖畫書,2019,12,T
性格販子: 最受歡迎的人格測驗MBTI大揭密,Merve Emre,行路出版,中文,中文書,人文,2019,12,F
變量: 看見中國社會小趨勢,何帆,聯經出版事業股份有限公司,中文,中文書,社會科學,2019,12,F
自製男人,Norah Vincent,木馬文化 ,中文,中文書,人文,2007,10,T
梅迪奇效應,Frans Johansson,商周出版,中文,中文書,商業財經,2005,10,T
葛林斯班的騙局,Ravi Batra,經濟新潮社,中文,中文書,商業財經,2005,11,T
百年愚行,小崎哲哉,先覺出版股份有限公司,中文,中文書,藝術,2004,1,T
帖木兒之後: 1405-2000年全球帝國史,John Darwin,野人文化股份有限公司,中文,中文書,人文,2010,12,T
不會俯衝的鴿子,Edward Van De Vendel,讀家文化出版有限公司,中文,兒童,圖畫書,2012,9,T
智能記憶,Barry Gordon,大塊文化,中文,中文書,人文,2005,9,T
雨果的祕密,Brian Selznick,台灣東方出版社股份有限公司,中文,中文書,青少年文學,2008,1,T
快思慢想,Daniel Kahneman,遠見天下文化出版股份有限公司,中文,中文書,人文,2012,11,T
腦袋裝了2000齣歌劇的人,Oliver Sacks,遠見天下文化出版股份有限公司,中文,中文書,科普,2008,9,T
正午的黑暗,Arthur Koestler,臉譜出版社,中文,中文書,文學,2006,4,T
貧民窟宅男的世界末日：奧斯卡．哇塞短暫奇妙的一生,Junot Diaz,漫遊者文化事業股份有限公司,中文,中文書,文學,2010,1,T
另類的出口,John Berger,麥田出版社,中文,中文書,藝術,2003,8,T
大偉的規則,Cythia Lord,台灣東方出版社股份有限公司,中文,兒童,文學類,2007,9,T
建築的表情,Witold Rybczynski,木馬文化事業有限公司,中文,中文書,藝術,2005,10,T
巴黎的獅子 (中法對照版),Beatrice Alemagna,米奇巴克有限公司,中文,兒童,圖畫書,2008,1,T
華頓商學院最受歡迎的談判課: 上完這堂課， 世界都會聽你的!,Stuart Diamond,先覺出版股份有限公司,中文,中文書,商業財經,2011,10,T
戰爭回憶錄: 喚回榮耀 1,Charles André Joseph Marie De Gaulle,左岸文化,中文,中文書,人文,2002,11,T
台灣棒球一百年,謝仕淵 謝佳芬,果實出版社,中文,中文書,人文,2003,8,F
戰爭回憶錄: 邁向統一 2,Charles André Joseph Marie De Gaulle,左岸文化,中文,中文書,人文,2002,11,T
剪裁歧見: 訂作民主社會的共識 (簽名版),Cass R. Sunstein,衛城出版,中文,中文書,社會科學,2015,12,T
情感設計,Donald A. Norman,田園城市文化事業有限公司,中文,中文書,藝術,2005,12,T
天地有大美,蔣勳,遠流出版事業股份有限公司,中文,中文書,文學,2005,12,F
重生,Giuseppe Pontiggia,臺灣商務印書館股份有限公司,中文,中文書,文學,2005,6,T
隱秘盛開,蔣韻,麥田出版社,中文,中文書,文學,2005,7,F
製造敵人的文化,Marc Crepon,果實出版社,中文,中文書,社會科學,2005,6,T
Get Lucky! 助你好運: 九個心理習慣， 讓你用小改變創造大運氣 (親簽版),劉軒,遠見天下文化出版股份有限公司,中文,中文書,人文,2015,1,F
王大閎: 永恆的建築詩人,徐明松,木馬文化事業有限公司,中文,中文書,藝術,2007,5,F
在一起， 就好,Anna Gavalda,木馬文化事業有限公司,中文,中文書,文學,2007,12,T
原來， 我們的生活很巴黎: 13個創造歷史的時尚創意,Joan Dejean,遠見天下文化出版股份有限公司,中文,中文書,人文,2006,6,T
心的靜修: 不恐懼．不焦慮．不生氣， 沒有煩惱的喜悅人生,His Eminence Gyalwa Dokhampa,遠見天下文化出版股份有限公司,中文,中文書,人文,2015,7,T
善待細胞， 可以活得更好,李豐,原水文化,中文,中文書,生活,2010,10,F
大江大海一九四九,龍應台,天下雜誌股份有限公司,中文,中文書,文學,2009,9,F
魚繪本 (3冊合售),中野博美,維京國際股份有限公司,中文,兒童,知識類,2007,4,T
昨日世界,Stefan Zweig,邊城出版社,中文,中文書,文學,2005,11,T
奇光下的祕密,Brian Selznick,未來出版,中文,中文書,青少年文學,2012,2,T
山丘上的修道院: 科比意的最後風景,范毅舜,本事文化股份有限公司,中文,中文書,藝術,2012,1,F
戰後的日美同盟真相,孫崎享,八旗文化,中文,中文書,社會科學,2016,8,F
愛跳舞的安娜,Tomas Nollet,讀家文化出版有限公司,中文,兒童,圖畫書,2012,5,T
仙人掌女人收藏書,周芬伶,麥田出版社,中文,中文書,文學,2006,7,F
慢食,謝忠道,果實出版社,中文,中文書,生活,2005,6,F
旁觀他人之痛苦,Susan Sontag,麥田出版社,中文,中文書,人文,2004,10,T
伊斯坦堡: 一座城市的記憶,Orhan Pamuk,馬可孛羅文化事業股份有限公司,中文,中文書,文學,2006,3,T
藏獒,楊志軍,風雲時代出版股份有限公司,中文,中文書,文學,2006,1,F
巴黎時間旅行,鹿島茂,果實出版社,中文,中文書,人文,2005,10,T
看不見的馬,熊亮,龍圖騰文化事業有限公司,中文,兒童,圖畫書,2012,2,F
帶一本書去巴黎,林達,時報文化出版企業股份有限公司,中文,中文書,文學,2003,1,F
後發制人：聰明企業如何不創新也能主宰新市場,Constantinos C. Markides,臉譜出版社,中文,中文書,商業財經,2005,6,T
沒有我們的世界,Alan Weisman,木馬文化事業有限公司,中文,中文書,科普,2008,6,T
匠心獨具: 史特拉第瓦里與琴的傳奇故事,Toby Faber,臺灣商務印書館股份有限公司,中文,中文書,藝術,2007,4,T
紳士與流浪漢,Ron Hall,啟示出版APOCALYPSE PRESS,中文,中文書,文學,2010,4,T
目的地上海,雷驤,西遊記文化事業有限公司,中文,中文書,文學,2007,3,F
一個德國人的故事,Sebastian Haffner,左岸文化,中文,中文書,人文,2005,3,T
咦? 神奇透視書!,Sophie Dauvois,臺灣麥克股份有限公司,中文,兒童,知識類,2016,1,T
邊緣優勢巨變,John Iii Hagel,臉譜出版社,中文,中文書,商業財經,2006,1,T
傾聽動物心語,Temple Grandin,木馬文化事業有限公司,中文,中文書,科普,2006,9,T
妮儂的哲學妙語套書 (2冊合售),Oscar Brenifier,玉山社出版事業股份有限公司,中文,兒童,知識類,2008,1,T
發現亞當斯密,Jonathan B. Wight,經濟新潮社,中文,中文書,商業財經,2004,8,T
海岸山脈的瑞士人,范毅舜,積木文化股份有限公司,中文,中文書,人文,2008,9,T
另一種影像敘事,John Berger,三言社,中文,中文書,藝術,2007,2,T
咖啡時代,沈孟穎,遠足文化事業股份有限公司,中文,中文書,人文,2005,2,F
那年春假， 貓， 小哲與我,湯本香樹實,親子天下股份有限公司,中文,中文書,青少年文學,2016,1,T
我的山居鳥日記: 25種鳥類生活大集合,鈴木守,遠流出版事業股份有限公司,中文,兒童,圖畫書,2007,8,T
He Is Monster,張家維,紅色文化事業股份有限公司,中文,中文書,圖文漫畫,2005,12,F
發燒地球200年,Gale E. Christianson,野人文化股份有限公司,中文,中文書,科普,2006,4,T
浪遊之歌,Rebecca Solnit,麥田出版社,中文,中文書,人文,2001,10,T
山茶花文具店 (誠品獨家精裝版),小川糸,圓神出版社有限公司,中文,中文書,文學,2017,8,T
